Product,Total_Revenue,Rank
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",1.98,128
Shakes and Ladders,1.98,128
She,1.98,128
She Loves Me Not,1.98,128
Shock Me,1.98,128
Shoot Me Again,1.98,128
Sign Of The Cross,1.98,128
Since I've Been Loving You,1.98,128
Slither,1.98,128
Smells Like Teen Spirit,1.98,128
Smoke On The Water,1.98,128
Snowballed,1.98,128
Snowblind,1.98,128
So Central Rain,1.98,128
So What,1.98,128
Soldier Side - Intro,1.98,128
Somebody To Love,1.98,128
Speed Of Light,1.98,128
Starburst,1.98,128
Stir It Up (Live),1.98,128
Stone Cold Crazy,1.98,128
Stormbringer,1.98,128
"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",1.98,128
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",1.98,128
Sun King,1.98,128
Sunday Bloody Sunday,1.98,128
Sunshine Of Your Love,1.98,128
Susie Q,1.98,128
Sweet Hitch-Hiker,1.98,128
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",1.98,128
Só Tinha De Ser Com Você,1.98,128
Take It Or Leave It,1.98,128
Tanto Tempo,1.98,128
Tarde Em Itapoã,1.98,128
Tear,1.98,128
Tempo Perdido,1.98,128
Thank You,1.98,128
That's The Way,1.98,128
The Aftermath,1.98,128
The Clairvoyant,1.98,128
The Duke,1.98,128
The Evil That Men Do,1.98,128
The Garden,1.98,128
The House Jack Built,1.98,128
The Last Song,1.98,128
The Midnight Special,1.98,128
The Prisoner,1.98,128
The Star Spangled Banner,1.98,128
The Thin Line Between Love & Hate,1.98,128
The Unforgiven,1.98,128
The Unforgiven II,1.98,128
The Wicker Man,1.98,128
Times Like These,1.98,128
Title Song,1.98,128
Toda Cor,1.98,128
Train In Vain,1.98,128
Travis Walk,1.98,128
Turbo Lover,1.98,128
Two Hearts Beat As One,1.98,128
Um Amor Puro,1.98,128
Under The Bridge,1.98,128
Undertow,1.98,128
Violent Pornography,1.98,128
Voodoo,1.98,128
Waiting,1.98,128
Walking Into Clarksdale,1.98,128
Walter's Walk,1.98,128
War Pigs,1.98,128
We Are The Champions,1.98,128
What A Day,1.98,128
"Whatever It Is, I Just Can't Stop",1.98,128
Whatsername,1.98,128
When I Come Around,1.98,128
When I Look At The World,1.98,128
When Love Comes To Town,1.98,128
When My Left Eye Jumps,1.98,128
Whiskey In The Jar,1.98,128
Woman Of The World (Ao Vivo),1.98,128
Wrathchild,1.98,128
Year to the Day,1.98,128
You Better You Bet,1.98,128
You Got Me Rocking,1.98,128
You're My Best Friend,1.98,128
You've Got Another Thing Comin',1.98,128
Your Time Is Gonna Come,1.98,128
Álibi,1.98,128
#9 Dream,0.99,414
'Round Midnight,0.99,414
(Anesthesia) Pulling Teeth,0.99,414
(White Man) In Hammersmith Palais,0.99,414
(Wish I Could) Hideaway,0.99,414
...And Justice For All,0.99,414
01 - Prowler,0.99,414
04 - Running Free,0.99,414
05 - Phantom of the Opera,0.99,414
09 - Iron Maiden,0.99,414
1/2 Full,0.99,414
14 Years,0.99,414
2 A.M.,0.99,414
2 X 4,0.99,414
32 Dentes,0.99,414
5.15,0.99,414
A Banda,0.99,414
A Bencao E Outros,0.99,414
A Cura,0.99,414
A Festa Do Santo Reis,0.99,414
A Kind Of Magic,0.99,414
A Man And A Woman,0.99,414
A Menina Dança,0.99,414
"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",0.99,414
A Moça e a Chuva,0.99,414
A Noite Do Meu Bem,0.99,414
A Paz,0.99,414
A Small Victory,0.99,414
A Statistic,0.99,414
A Sua,0.99,414
A Touch Away,0.99,414
A Twist In The Tail,0.99,414
A.N.D.R.O.T.A.Z.,0.99,414
Abrir A Porta,0.99,414
Achilles Last Stand,0.99,414
Acrobat,0.99,414
"Act IV, Symphony",0.99,414
Action,0.99,414
Adios nonino,0.99,414
Admirável Gado Novo,0.99,414
Advance Romance,0.99,414
Aeroplane Flies High,0.99,414
After Midnight,0.99,414
Age Of Innocence,0.99,414
Agora Que O Dia Acordou,0.99,414
Ain't My Bitch,0.99,414
Ain't Talkin' 'bout Love,0.99,414
Alberta,0.99,414
Ali,0.99,414
Alive,0.99,414
All Because Of You,0.99,414
"All Dead, All Dead",0.99,414
All For You,0.99,414
All I Really Want,0.99,414
All My Love,0.99,414
All Night Thing,0.99,414
All Star,0.99,414
All Within My Hands,0.99,414
Aloha,0.99,414
"Always With Me, Always With You",0.99,414
"Alô, Alô, Marciano",0.99,414
Am I Evil?,0.99,414
Amanhã Não Se Sabe,0.99,414
Amazing,0.99,414
American Idiot,0.99,414
American Woman,0.99,414
Amor Demais,0.99,414
Amy Amy Amy (Outro),0.99,414
Angel,0.99,414
Angel Of Harlem,0.99,414
Angela,0.99,414
Another Life,0.99,414
Another One Bites The Dust,0.99,414
Anthem,0.99,414
Any Colour You Like,0.99,414
Anything Goes,0.99,414
"Anyway, Anyhow, Anywhere",0.99,414
Aos Leões,0.99,414
Apesar De Você,0.99,414
Aprendendo A Jogar,0.99,414
Aquele Abraço,0.99,414
Aquilo,0.99,414
Arc,0.99,414
Are We The Waiting,0.99,414
Are You Gonna Be My Girl,0.99,414
Are You Gonna Go My Way,0.99,414
Armadura,0.99,414
Army Ants,0.99,414
Around The World,0.99,414
As Aparências Enganam,0.99,414
As Dores do Mundo,0.99,414
As Profecias,0.99,414
As Tears Go By,0.99,414
As We Sleep,0.99,414
Ashes To Ashes,0.99,414
Assaltaram A Gramática,0.99,414
Assim Caminha A Humanidade,0.99,414
Assum Preto,0.99,414
Astronomy,0.99,414
Atomic Punk,0.99,414
Atras Da Porta,0.99,414
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,0.99,414
Atrás da Porta,0.99,414
Attitude,0.99,414
Ava Adore,0.99,414
Avisa,0.99,414
B.Y.O.B.,0.99,414
Baba O'Riley,0.99,414
Babyface,0.99,414
Back Door Man,0.99,414
Back in the Village,0.99,414
Back off Bitch,0.99,414
Back to Black,0.99,414
Bad,0.99,414
Bad Moon Rising,0.99,414
Bad Obsession,0.99,414
Bad Seed,0.99,414
"Bad, Bad Leroy Brown",0.99,414
Badge,0.99,414
Balanço,0.99,414
"Baltimore, DC",0.99,414
Bankrobber,0.99,414
Bark at the Moon,0.99,414
Bass Trap,0.99,414
Be Aggressive,0.99,414
Be Good Johnny,0.99,414
Be Mine,0.99,414
Beach Sequence,0.99,414
Been A Son,0.99,414
Beija-Flor,0.99,414
Beijo Partido,0.99,414
Believer,0.99,414
Bell Bottom Blues,0.99,414
Berimbau,0.99,414
Best Thing,0.99,414
Beth,0.99,414
Bicycle Race,0.99,414
Big Machine,0.99,414
Billie Jean,0.99,414
Bittersweet Me,0.99,414
Black,0.99,414
Black Capricorn Day,0.99,414
Black Diamond,0.99,414
Black Hole Sun,0.99,414
Black Light Syndrome,0.99,414
Black Moon Creeping,0.99,414
Black Mountain Side,0.99,414
Black Night,0.99,414
Black Satin,0.99,414
Blackened,0.99,414
Bleed The Freak,0.99,414
Bleed Together,0.99,414
Bleeding Me,0.99,414
Blind Man,0.99,414
Blissed & Gone,0.99,414
Blitzkrieg,0.99,414
Blood In The Wall,0.99,414
Blood On The World's Hands,0.99,414
Blow Your Mind,0.99,414
Blue Train,0.99,414
Blues For Pablo (Alternate Take),0.99,414
Body Count,0.99,414
Body Count Anthem,0.99,414
Body Count's In The House,0.99,414
Bohemian Rhapsody,0.99,414
Boogie Blues,0.99,414
Boogie With Stu,0.99,414
Book Of Thel,0.99,414
Bop Boogie,0.99,414
Bora-Bora,0.99,414
Bored To Tears,0.99,414
Born On The Bayou,0.99,414
Born To Move,0.99,414
Bossa,0.99,414
Boulevard Of Broken Dreams,0.99,414
Brain Damage,0.99,414
Brain Stew,0.99,414
Brasília 5:31,0.99,414
Brave New World,0.99,414
Breadfan,0.99,414
Breaking The Rules,0.99,414
Breakthru,0.99,414
Breathe,0.99,414
Breed,0.99,414
Brighter Than a Thousand Suns,0.99,414
Bring Me Your Cup,0.99,414
Bring Your Daughter... ...To The Slaughter,0.99,414
Bring Your Daughter... To The Slaughter,0.99,414
Brumário,0.99,414
Bullet The Blue Sky,0.99,414
Burden In My Hand,0.99,414
Burn Away,0.99,414
Busca Vida,0.99,414
Bush Doctor,0.99,414
By The Way,0.99,414
Bye Bye Blackbird,0.99,414
"Bye, Bye Brasil",0.99,414
Bê-a-Bá,0.99,414
C'Mon Everybody,0.99,414
Cafezinho,0.99,414
Californication,0.99,414
Call Me a Dog,0.99,414
Camarão que Dorme e Onda Leva,0.99,414
Camisa Verde 2001,0.99,414
Can You See Me,0.99,414
Can't Get There From Here,0.99,414
Can't Keep,0.99,414
Can't Stand Losing You,0.99,414
Can't Stop,0.99,414
Can't Stop Loving You,0.99,414
Canon and Gigue in D Major: I. Canon,0.99,414
"Canta, Canta Mais",0.99,414
Canto De Ossanha,0.99,414
Canário Do Reino,0.99,414
Caprichosos,0.99,414
Caras Como Eu,0.99,414
Carnival Of Sorts,0.99,414
Carol,0.99,414
Carolina,0.99,414
Carolina Hard-Core Ecstasy,0.99,414
Carouselambra,0.99,414
Carta Ao Tom 74,0.99,414
Casa,0.99,414
Casa no Campo,0.99,414
Cascades : I'm Not Your Lover,0.99,414
Caso Você Queira Saber,0.99,414
Cathedral,0.99,414
Caught Somewhere in Time,0.99,414
Caçador de Mim (Sá & Guarabyra),0.99,414
Chains Of Misery,0.99,414
Changes,0.99,414
Chaos-Control,0.99,414
Chapa o Coco,0.99,414
Charles Anjo 45,0.99,414
Chega no Suingue,0.99,414
Child In Time,0.99,414
Childhoods End?,0.99,414
Children of the Damned,0.99,414
Chão De Estrelas,0.99,414
Chão de Giz (Elba Ramalho),0.99,414
Cigano,0.99,414
Cigaro,0.99,414
Cinema Mudo,0.99,414
Civil War,0.99,414
Clash City Rockers,0.99,414
Closer To The Heart,0.99,414
Cochise,0.99,414
Cold Gin,0.99,414
Cold Turkey,0.99,414
Colibri,0.99,414
Com Açúcar E Com Afeto,0.99,414
Coma,0.99,414
Come Fly With Me,0.99,414
Começaria Tudo Outra Vez,0.99,414
Commercial 2,0.99,414
Communication Breakdown(2),0.99,414
Como Estais Amigos,0.99,414
Como É Duro Trabalhar,0.99,414
Compulsion,0.99,414
Computadores Fazem Arte,0.99,414
"Concerto No.2 in F Major, BWV1047, I. Allegro",0.99,414
"Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato",0.99,414
"Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto",0.99,414
Condição,0.99,414
Confusion,0.99,414
Construção / Deus Lhe Pague,0.99,414
Copacabana (Live),0.99,414
Coração De Estudante,0.99,414
Coração Em Desalinho,0.99,414
Coração do Agreste (Fafá de Belém),0.99,414
Corduroy,0.99,414
Corinna,0.99,414
Coroné Antonio Bento,0.99,414
Cotton Fields,0.99,414
Crackerman,0.99,414
Crash Course In Brain Surgery,0.99,414
Crazy Train,0.99,414
Creep,0.99,414
Creeping Death,0.99,414
Criança De Domingo,0.99,414
Cristina Nº 2,0.99,414
Cropduster,0.99,414
Crossfire,0.99,414
Crossroads,0.99,414
Crumbs From Your Table,0.99,414
Cry For Love,0.99,414
Crystal Ball,0.99,414
Cuckoo For Caca,0.99,414
Cure,0.99,414
Cursed Diamonds,0.99,414
Cuyahoga,0.99,414
Cérebro Eletrônico,0.99,414
D'Yer Mak'er,0.99,414
Da Lama Ao Caos,0.99,414
Damage Case,0.99,414
Damage Inc.,0.99,414
Dance,0.99,414
Dance Enquanto é Tempo,0.99,414
Dance Of Death,0.99,414
Dancing Barefoot,0.99,414
Dancing In The Street,0.99,414
Dandelion,0.99,414
"Danny Boy, Danny Boy",0.99,414
Dança Da Solidão,0.99,414
Dark Corners,0.99,414
"De Do Do Do, De Da Da Da",0.99,414
De Ja Vu,0.99,414
De La Luz,0.99,414
De Noite Na Cama,0.99,414
De Ouro E Marfim (Live),0.99,414
Dead And Bloated,0.99,414
Dead Horse,0.99,414
Dee,0.99,414
Deep Waters,0.99,414
Deeper Underground,0.99,414
Deixa,0.99,414
Demorou!,0.99,414
Denúncia,0.99,414
Departure,0.99,414
Desaforo,0.99,414
Destitute Illusions,0.99,414
Deuce,0.99,414
Diamonds And Rust (Live),0.99,414
Die Die My Darling,0.99,414
Die Walküre: The Ride of the Valkyries,0.99,414
Die With Your Boots On,0.99,414
"Diga Lá, Coração",0.99,414
Din Din Wo (Little Child),0.99,414
Dirty Little Thing,0.99,414
Dirty Love,0.99,414
Dirty Water Dog,0.99,414
Disappearing Act,0.99,414
Disarm,0.99,414
Discotheque,0.99,414
Disenchanted Lullaby,0.99,414
Disposable Heroes,0.99,414
Dissident,0.99,414
Divirta-Se (Saindo Da Sua),0.99,414
Do It For The Kids,0.99,414
Do You Feel Loved,0.99,414
Do You Have Other Loves?,0.99,414
Do You Like The Way,0.99,414
Do You Love Me,0.99,414
Do what cha wanna,0.99,414
Doesn't Remind Me,0.99,414
Dog Eat Dog,0.99,414
Domingo,0.99,414
Don't Cry,0.99,414
Don't Cry (Original),0.99,414
Don't Damn Me,0.99,414
Don't Go Back To Rockville,0.99,414
Don't Look Back,0.99,414
Don't Stand so Close to Me,0.99,414
Don't You Cry,0.99,414
Double Talkin' Jive,0.99,414
Doutor,0.99,414
Down By The Seaside,0.99,414
Down On The Corner,0.99,414
Down Under,0.99,414
Dreams,0.99,414
Drown,0.99,414
Drown Me Slowly,0.99,414
Drowning Man,0.99,414
Duelists,0.99,414
Duende,0.99,414
Dujji,0.99,414
Dust N' Bones,0.99,414
E.C.T.,0.99,414
E.S.P.,0.99,414
Eclipse Oculto,0.99,414
Edie (Ciao Baby),0.99,414
El Farol,0.99,414
Ela Disse Adeus,0.99,414
Elderly Woman Behind The Counter In A Small Town,0.99,414
Eleanor Rigby,0.99,414
Electrolite,0.99,414
Elza,0.99,414
Encontrar Alguém,0.99,414
Endgame,0.99,414
Enquanto O Dia Não Vem,0.99,414
Entrando Na Sua (Intro),0.99,414
Entre E Ouça,0.99,414
Epic,0.99,414
Equinocio,0.99,414
Era Uma Vez,0.99,414
Esperando Na Janela,0.99,414
Esse Cara,0.99,414
Estranged,0.99,414
Estrela (Live),0.99,414
Etnia,0.99,414
Eu Amo Você,0.99,414
Eu Apenas Queria Que Voçê Soubesse,0.99,414
Eu E Ela,0.99,414
Eu Sou Neguinha (Ao Vivo),0.99,414
Eu Também Quero Beijar,0.99,414
Eu Vim Da Bahia - Live,0.99,414
Even Better Than The Real Thing,0.99,414
Everlong,0.99,414
Every Breath You Take,0.99,414
Every Time I Look At You,0.99,414
Everything I Need,0.99,414
Everything's Ruined,0.99,414
Evil Dick,0.99,414
Evil Walks,0.99,414
Evil Ways,0.99,414
Evil Woman,0.99,414
Exploder,0.99,414
Expresso 2222,0.99,414
Extra,0.99,414
Extraordinary Girl,0.99,414
Eye,0.99,414
Eye Of The Beholder,0.99,414
F**k Me Pumps,0.99,414
F*Ckin' Up,0.99,414
Face In The Sand,0.99,414
Faceless,0.99,414
Fade To Black,0.99,414
Fairies Wear Boots,0.99,414
Faixa Amarela,0.99,414
Falando De Amor,0.99,414
Falar A Verdade,0.99,414
Fall To Pieces,0.99,414
Falling To Pieces,0.99,414
Família,0.99,414
Fantasia On Greensleeves,0.99,414
Fascinação,0.99,414
Fast And Loose,0.99,414
Fast As a Shark,0.99,414
Fat Bottomed Girls,0.99,414
Fates Warning,0.99,414
Fear Is The Key,0.99,414
Feel It,0.99,414
Feel Your Love Tonight,0.99,414
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,0.99,414
Felicidade Urgente,0.99,414
Fica,0.99,414
Fight From The Inside,0.99,414
Filho Maravilha,0.99,414
Finding My Way,0.99,414
Fire,0.99,414
First Time I Met The Blues,0.99,414
Flash,0.99,414
Flash of The Blade,0.99,414
Flight Of The Rat,0.99,414
Flor De Lis,0.99,414
Flores,0.99,414
Flower,0.99,414
Fly By Night,0.99,414
Fly Me To The Moon,0.99,414
Fool In The Rain,0.99,414
For Those About To Rock (We Salute You),0.99,414
For Your Babies,0.99,414
Fora Da Ordem,0.99,414
Forgiven,0.99,414
Formigueiro,0.99,414
Formosa,0.99,414
Fortunate Son,0.99,414
Fortunes Of War,0.99,414
Fortuneteller,0.99,414
Forty Days Instrumental,0.99,414
Four Sticks,0.99,414
Four Walled World,0.99,414
Frantic,0.99,414
Free Me,0.99,414
Freedom For My People,0.99,414
Freewheel Burning,0.99,414
Freewill,0.99,414
Friend Of A Friend,0.99,414
Friends,0.99,414
From Here To Eternity,0.99,414
From Out Of Nowhere,0.99,414
Fuel,0.99,414
Funk Hum,0.99,414
Funk de Bamba,0.99,414
Funky Piano,0.99,414
Futureal,0.99,414
Garota Nacional,0.99,414
Garota de Ipanema (Dick Farney),0.99,414
Gatas Extraordinárias,0.99,414
Gates Of Tomorrow,0.99,414
Gates Of Urizen,0.99,414
Gavioes 2001,0.99,414
Geek Stink Breath,0.99,414
Genghis Khan,0.99,414
"Get Down, Make Love",0.99,414
Get Off Of My Cloud,0.99,414
Get On The Snake,0.99,414
Get On Top,0.99,414
Get Out,0.99,414
Get Right,0.99,414
Get Up (I Feel Like Being A) Sex Machine,0.99,414
Get Up Offa That Thing,0.99,414
Get What You Need,0.99,414
Ghost,0.99,414
Gimmie Shelters,0.99,414
Girl From A Pawnshop,0.99,414
Given To Fly,0.99,414
Giz,0.99,414
Go,0.99,414
Go Back,0.99,414
Go Down,0.99,414
God,0.99,414
God Gave Rock 'n' Roll To You,0.99,414
God Of Thunder,0.99,414
God Part II,0.99,414
Goin' Blind,0.99,414
Going Down / Highway Star,0.99,414
Going To California,0.99,414
Gone,0.99,414
Gostava Tanto De Você,0.99,414
Got That Feeling,0.99,414
Gota D'água,0.99,414
Green Disease,0.99,414
Green Grow The Rushes,0.99,414
Green River,0.99,414
Grito De Alerta,0.99,414
Groovus Interruptus,0.99,414
Guess Who's Back,0.99,414
Hairshirt,0.99,414
